row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity
16,Facenet512,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.1981968024890415
23,Facenet512,lfw_pairs,dodging_attack,GhostFaceNet,ATT,0.28151892699041337
18,Facenet512,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.42053865672679797
27,Facenet512,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.43176105703728984
28,Facenet512,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.22527913514050701
30,Facenet512,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.2940620937336674
33,Facenet512,celeba_pairs,dodging_attack,GhostFaceNet,ATT,0.3181977083261597
1,Facenet512,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.1745621288364019
4,Facenet512,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.024090066858489714
7,Facenet512,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.19753644187149672
10,Facenet512,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.34545748093591444
11,Facenet512,vggface2_pairs,dodging_attack,GhostFaceNet,ATT,0.3282803898197716
0,GhostFaceNet,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.09906944967832661
32,GhostFaceNet,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.2508644547109637
48,GhostFaceNet,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.017137239744248127
57,GhostFaceNet,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.08265261715057085
60,GhostFaceNet,lfw_pairs,impersonation_attack,GhostFaceNet,ATT,0.06301050307116818
2,GhostFaceNet,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.1253057459447034
8,GhostFaceNet,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.3276319967696051
12,GhostFaceNet,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.22966935166724253
26,GhostFaceNet,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.10465620185147648
34,GhostFaceNet,celeba_pairs,impersonation_attack,GhostFaceNet,ATT,0.18829427508455135
3,GhostFaceNet,vggface2_pairs,impersonation_attack,GhostFaceNet,ATT,0.3298566767536926
